k,k_err,d,d_err,cell_frac,cell_frac_err
0.16,0,0.22,0,NaN,NaN
0.13,0,0.15,0,0.00457637435392216,0.000486354070675865
0.11,0,0.13,0,0.00869723120915205,0.000794137178231645
0.12,0,0.13,0,0.00966351938304645,0.00057601029871214
0.12,0,0.14,0,0.0196059982157641,0.00120960885343047
0.12,0,0.15,0,0.0391264533349501,0.00169294977562891
0.18,0,0.5,0,0.0434831875697354,0.00145580660684084
0.14,0,0.24,0,0.0269544606102632,0.00139294584299555
0.15,0,0.5,0,0.0218940334913007,0.00187053848559474
NaN,NaN,NaN,NaN,0.0128056802980813,0.00163342915693041
NaN,NaN,NaN,NaN,0.00631175036712972,0.00120934639476681
