k,k_err,d,d_err,cell_frac,cell_frac_err
0.12,0,0.17,0,0.00069715291036121,0.000240403192774882
0.16,0,0.43,0,0.00164857467500638,0.000308783554913415
0.1,0,0.12,0,0.00314202870703439,0.000681951760129129
0.16,0,0.28,0,0.00546345263735525,0.000972376883060989
0.09,0,0.11,0,0.009168633758988,0.00161716977783875
0.15,0,0.26,0,0.0121822801712556,0.00257842910783957
0.11,0,0.13,0,0.0172947588377368,0.00377573099274986
0.15,0,0.23,0,0.0216478342781506,0.00501908868354475
0.15,0,0.22,0,0.0201160679576846,0.00291599617371299
0.13,0,0.17,0,0.0202059068169572,0.0026415126697702
0.15,0,0.22,0,0.0141275249410346,0.0031566040017622
0.14,0,0.21,0,0.010997587615066,0.00301944084596594
0.16,0,0.22,0,0.00585007840058467,0.00325471395657525
0.19,0,0.35,0,0.00363839192660865,0.00224556454468163
NaN,NaN,NaN,NaN,0.00179193065938235,0.00157511836381853
