k,k_err,d,d_err,cell_frac,cell_frac_err
0.13,0,0.23,0,0.00139290175438562,0.000242541728368379
0.16,0,0.31,0,0.0057254664279057,0.000781488071179779
0.17,0,0.5,0,0.0114133277519094,0.00153121623672696
0.17,0,0.5,0,0.0083395379025313,0.00196915623574853
0.1,0,0.13,0,0.0091186710869139,0.00225298434394353
0.13,0,0.14,0,0.0090847291488313,0.00217707282291695
0.14,0,0.21,0,0.00936886676660355,0.00214726750114021
0.16,0,0.24,0,0.0183362228385225,0.00413756821986177
0.16,0,0.29,0,0.0473839061181547,0.0114001281730832
0.15,0,0.31,0,0.028071556362151,0.0066407186792389
0.18,0,0.36,0,0.0161701432133047,0.00383867201664712
0.12,0,0.17,0,0.00924155060751163,0.00220545135775003
NaN,NaN,NaN,NaN,0.0052629321931778,0.00126117366774416
