k,k_err,d,d_err,cell_frac,cell_frac_err
0.11,0,0.15,0,NaN,NaN
0.11,0,0.14,0,0.00470346199918561,0.000370739621562803
0.13,0,0.15,0,0.00845523143542905,0.000843691977389538
0.12,0,0.13,0,0.00952811599267046,0.000705592699377827
0.12,0,0.14,0,0.0191014948244759,0.00166256784954915
0.17,0,0.3,0,0.0395139635321142,0.00250250861618798
0.14,0,0.36,0,0.042986894833926,0.00167384475538336
0.17,0,0.37,0,0.0268340862389386,0.00101461767846
0.14,0,0.5,0,0.0208850211633504,0.00173589298765625
NaN,NaN,NaN,NaN,0.0131948190165417,0.00162877776895898
NaN,NaN,NaN,NaN,0.00605584176997594,0.0011199315265207
