k,k_err,d,d_err,cell_frac,cell_frac_err
0.15,0,0.37,0,0.00144377151003936,0.000212990032080675
0.17,0,0.5,0,0.0056959011594124,0.000775899673819201
0.17,0,0.5,0,0.0114953438150221,0.00140704001577267
0.17,0,0.5,0,0.0083716946734478,0.00203278766541454
0.11,0,0.14,0,0.00912570599414966,0.00222777224177349
0.12,0,0.14,0,0.00906594220434077,0.00218244759971304
0.15,0,0.21,0,0.00933226406443207,0.002147759655725
0.17,0,0.5,0,0.0180659391712189,0.00392894144915794
0.15,0,0.2,0,0.0472389613764776,0.011135536603349
0.15,0,0.42,0,0.0281944391633928,0.00686732184241677
0.17,0,0.27,0,0.0161929010763465,0.00386762955740624
0.14,0,0.31,0,0.00925428587429718,0.0022038460854951
NaN,NaN,NaN,NaN,0.00533952578881809,0.00123582832473884
