Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
128.077515,344.493286,1.04704058,2.62633252,0,0,269.540802,23.3830566,51.7541389,0.673969626,36.4907837,0.298354238,4.44879484,30.7004089,0,29.6296635,0,0,0,0,0,0,0,0.864666045,191.660828,0,264.146027,508.036469,21.110548
105.353859,0,0,0,11.6078138,1.23641133,210.828644,13.4956236,22.5158424,1.92776549,37.9919205,2.07567263,2.91283655,14.6543322,0,27.7525864,0,0.885248482,8.82761097,0,0,0,0,0,11.459465,0,266.368683,538.723022,5.75056124
64.5815125,690.258057,0,1.82794487,1.22054613,0.813027084,216.055878,18.1517448,43.8587875,5.74889326,300.376801,4.68839455,3.12277579,8.83159351,0,36.4803162,0,0,0,4.10460043,0,0,0,0.229219705,195.97998,0.412456274,278.54483,553.985352,11.5460091
28.9109173,1.15729225,0,1.01283026,0,0,111.464256,10.2592459,21.2156067,0,23.5314121,0,0,18.5917435,0.996359587,16.1303024,1.44232631,0,0,0,2.31664133,0,0,1.07493424,10.4489832,0,283.254059,525.349365,8.73486042
43.6178436,0,7.62729406e-3,1.25543392,0,7.4169364,152.376999,7.34667635,35.6884956,0,39.8783646,3.66460419,2.43793344,5.58817577,0,6.30397272,0,0.520345211,0,3.02920723,2.03401923,0,0.955857933,2.49817657,220.321136,0,330.33667,649.678467,26.7331123
24.2250042,554.612427,0.758782089,0,0,0,145.571701,1.93743026,11.400507,0,56.2665939,0,0,48.9731712,2.74747086,14.4608002,0,0,0,0,0,0,0,0,13.5333395,0,250.49675,547.828857,0
18.4424763,206.636017,1.51691818,0,3.61313391,1.27614641,87.6861877,9.35463905,5.3694768,0,21.0778885,1.77049696,0,12.0794668,3.08764315,5.3694768,6.55617619,0,7.04103374,0,0,0,0,0,16.9050007,1.14934874,252.603699,443.107056,15.7039022
40.1614647,14.4582405,9.99540138,0,0.960921824,1.23641133,390.705475,52.7158203,70.9694901,12.5129118,314.118927,16.9050007,0,1.17775381,0,8.23764801,0,1.48624873,2.03135848,0.882686973,5.99437952,0,0.415891469,0,143.922943,0,218.485504,464.627106,76.5624924
46.9876328,0,0,0.101199217,0,3.78086209,122.336548,13.0496092,19.4616375,6.30962706,191.127731,2.61411619,0.953111827,0,0,8.78606796,0,0.966565967,0,0,3.54886031,0,4.27859974,5.66739655,700.011047,4.25285006,242.921677,502.394196,9.56862545
56.3856926,336.868774,0,0,0.160206482,5.98864698,170.644241,15.6764536,9.64521122,8.64137363,116.902596,1.02366006,3.05533981,26.5695534,0,16.7455215,0,0,0,0,0,0,0.918890536,0,178.276321,0,262.674683,510.8815,3.32713175
58.4512978,204.345062,0,1.02389908,2.2796576,4.30989981,192.751373,20.3349037,42.3165703,0,49.1118889,0,0,42.6674843,0,8.99292469,0,0,0,0,0,0,0,0,34.7705154,0,220.321136,459.470581,3.97599602
39.8315697,0.083919406,5.13712835,2.86761284,0,0.420116901,242.93425,15.7528248,16.9257603,19.6960125,73.1611023,5.22781467,2.10700583,0,2.77370644,5.05857515,0,0,0,0,0,0,0,0,7.80024004,0,348.370392,585.828857,13.0053148
