Sample	Freq	CD21	CD93	MHCII
1: 0hr_r1_m0_170623.FCS	24.2	0.417	20.1	35.8
2: 0hr_r2_m0_20170624.fcs	24.4	0.475	12.6	37.1
3: 0hr_r3_m0_20170625.fcs	23.9	0.59	20.1	73.6
4: 0hr_r4_m0_20170626_01.fcs	17.3	0.653	6.11	39.4
5: 1hr_r1_m1_170623.FCS	21.3	0.477	14.5	40.2
6: 1hr_r2_m31_20170625.fcs	19.4	0.724	4.32	52.9
7: 1hr_r3_m46_20170626_01.fcs	10.1	1.28	1.42	59.7
8: 12hr_r1_m2_170623.FCS	16.2	0.643	10.9	39.1
9: 12hr_r2_m16_20170624.fcs	21.6	0.416	10.7	39.1
10: 12hr_r3_m47_20170626_01.fcs	4.66	1.3	0.82	28.4
11: 24hr_r1_m3_170623.FCS	20.6	0.457	13.1	40.2
12: 24hr_r2_m17_20170624.fcs	18.7	0.411	8.35	38
13: 24hr_r3_m32_20170625.fcs	17.8	0.783	2.64	49.9
14: 36hr_r1_m18_20170624.fcs	21.3	0.538	5.92	33.8
15: 36hr_r2_m33_20170625.fcs	18.2	0.629	4.33	31.8
16: 36hr_r3_m48_20170626_01.fcs	8.44	1.17	2.33	40.3
17: 48hr_r1_m4_170623.FCS	19.7	0.424	12.9	37.4
18: 48hr_r2_m34_20170625.fcs	16.8	0.755	1.72	27.7
19: 48hr_r3_m49_20170626_01.fcs	7.03	0.913	1.83	47.1
20: 60hr_r1_m5_170623.FCS	16.9	0.496	15.2	29.9
21: 60hr_r2_m19_20170624.fcs	17.7	0.451	7.87	33.2
22: 60hr_r3_m50_20170626_01.fcs	4.75	1.03	1.7	27.6
23: 72hr_r1_m6_170623.FCS	20.9	0.472	12.7	37.1
24: 72hr_r2_m20_20170624.fcs	15.7	0.85	4.22	31.8
25: 72hr_r3_m35_20170625.fcs	16.5	0.991	1.99	30.7
26: 84hr_r1_m21_20170624.fcs	18.2	0.39	8.59	33.6
27: 84hr_r2_m36_20170625.fcs	19.1	0.587	4.29	37.9
28: 84hr_r3_m51_20170626_01.fcs	3.19	1.78	1.6	16.7
29: 96hr_r1_m7_170623.FCS	19.7	0.519	10.4	32
30: 96hr_r2_m37_20170625.fcs	19.6	0.535	3.85	35.7
31: 96hr_r3_m52_20170626_01.fcs	6.47	0.982	0.949	24.2
32: 108hr_r1_m8_170623.FCS	17.1	0.354	11.3	36.7
33: 108hr_r2_m22_20170624.fcs	17.4	0.459	6.9	33
34: 108hr_r3_m53_20170626_01.fcs	12.5	0.844	2.02	41.6
35: 120hr_r1_m9_170623.FCS	19.4	0.474	11.2	38.2
36: 120hr_r2_m23_20170624.fcs	16.1	0.325	7.68	36.5
37: 120hr_r3_m38_20170625.fcs	17.3	0.744	2.89	45.7
38: 132hr_r1_m24_20170624.fcs	19.6	0.422	7.28	38
39: 132hr_r2_m39_20170625.fcs	18.9	0.787	3.84	46.1
40: 132hr_r3_m54_20170626_01.fcs	0.234	0.517	0.628	60
41: 144hr_r1_m10_170623.FCS	18.5	0.389	11.7	36.7
42: 144hr_r2_m40_20170625.fcs	17.4	0.975	2.88	44.3
43: 144hr_r3_m55_20170626_01.fcs	5.05	0.783	1.65	26.3
44: 156hr_r1_m11_170623.FCS	13.9	0.563	8.26	34.1
45: 156hr_r2_m25_20170624.fcs	14.5	0.363	7.77	35.8
46: 156hr_r3_m56_20170626_01.fcs	2.44	1.26	0.696	29.8
47: 168hr_r1_m12_170623.FCS	9.92	0.428	7.14	42.8
48: 168hr_r2_m26_20170624.fcs	12.6	0.687	6.86	34.9
49: 168hr_r3_m41_20170625.fcs	16.1	1.03	4.15	47.4
50: 180hr_r1_m27_20170624.fcs	14.4	0.442	6.16	27.9
51: 180hr_r2_m42_20170625.fcs	19.8	1.4	3.75	40.9
52: 180hr_r3_m57_20170626_01.fcs	3.79	0.976	0.78	31.2
53: 192hr_r1_m13_170623.FCS	13.4	0.621	8.22	28.9
54: 192hr_r2_m43_20170625.fcs	16.8	0.596	4.11	37.6
55: 192hr_r3_m58_20170626_01.fcs	4.04	1.04	0.636	19.2
56: 204hr_r1_m14_170623.FCS	13.2	0.507	7.53	26.8
57: 204hr_r2_m28_20170624.fcs	14.4	0.595	4.53	28.3
58: 204hr_r3_m59_20170626_01.fcs	0.277	3.04	0.448	31
59: 216hr_r1_m15_170623.FCS	15.8	0.458	7.8	27.6
60: 216hr_r2_m29_20170624.fcs	13.2	0.637	4.6	32.9
61: 216hr_r3_m44_20170625.fcs	17.4	0.434	6.4	36.8
62: 228hr_r1_m30_20170624.fcs	16.6	0.507	4.25	27.1
63: 228hr_r2_m45_20170625.fcs	18.8	1.48	2.57	35.1
64: 228hr_r3_m60_20170626_01.fcs	1.04	1.56	0.457	32.8
