Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
18.2453918,0.903283477,38.230484,0,1.28584516,0,0,115.01458,0,2.09408116,0,0,44.4265327,2.84723306,1.22847664,0,133.533417,3.05003905,0,0,0.176163331,0,0,0,0,0,344.842651,629.210754,3.37636805
17.338728,4.60539007,77.7658768,0,0,0,3.05003905,127.592102,0,9.39775085,0,0,6.05841446,0,2.78217888,0,141.93898,0,0,0,0.255878657,0,0,0,0,0,374.87558,656.004517,5.9580102
7.62739611,4.18551207,28.4594402,0,2.28291416,3.89813995,56.3788681,157.584061,0,0.809593737,0,0,12.0189276,60.1983147,0,2.63256788,113.711388,5.19838905,0,2.06801128,0,0.097370423,3.00759625,0.690922678,5.54998779,22.9210644,390.869507,790.499512,24.6421909
29.3880634,5.80195808,24.06077,2.31664133,2.18836951,3.85216522,9.13347721,488.563171,0.35904631,10.6145744,0,0,99.307663,0,0,0,527.317017,12.4219265,0,0,0,0,1.06037438,2.22536206,2.16706824,0,394.150055,751.841919,10.7745056
33.5085754,5.10901165,72.3167496,0,1.73479474,0,0.595363319,162.86998,0,1.00894451,0,0,35.0512543,0,0,0,193.269135,4.38585567,0,0,0,0,1.25861549,0.397505045,0,0.263754517,430.920685,779.564209,0
39.2878876,16.6116581,103.771797,1.57545781,0,0,0,108.617752,0.572094142,8.82761097,0,0,55.8084602,0,0.389481694,0,231.020798,11.3212299,0,0,0,1.96298778,0,0,2.72684312,0,365.598145,717.085999,7.04103374
22.3943024,1.53402412,65.7318878,3.01478171,0,3.44412923,0,410.97464,0,9.96739388,0,0,43.9484673,0,0,1.50447416,276.219849,0,0,0,2.59538364,0,0,0,0,0,330.750122,745.587158,0.549506068
13.1441336,9.64521122,52.1153259,0,2.98529077,0.317607701,5.32553339,117.231926,0.594010115,5.8256731,0,1.70369935,52.1368523,0,0,1.57545781,121.187553,0.350943267,3.48991179,0.413842887,0,0,0,0,0,0.125915825,288.646179,638.016724,2.21985531
10.7617378,1.30052006,128.698166,0.172302008,0.061018754,1.0449574,0,204.741486,0,11.0452023,1.67176604,0,37.7881126,0,2.42906427,0,294.556458,8.4376955,0,0,0,0.191631004,0,0,0,6.71546221,287.845886,556.831482,3.87486053
31.0377998,2.86079597,66.583046,4.38465786,3.00146246,0.118277237,1.34754252,476.443634,0.422046006,4.16276169,0,1.07038224,204.91539,0,0.953111827,0,327.576355,3.21264887,0,0,0.110776611,0,0,0,4.62648392,0,370.723267,773.076538,1.02429926
