Sample	Freq	Ly6G	CD11b	MHCII
1: 0hr_r1_m0_170623.FCS	24	147	106	1.32
2: 0hr_r2_m0_20170624.fcs	29.6	150	88.5	0.854
3: 0hr_r3_m0_20170625.fcs	30.6	95	124	1.99
4: 0hr_r4_m0_20170626_01.fcs	7.61	77.4	56.8	3.83
5: 1hr_r1_m1_170623.FCS	24.3	129	95.1	0.96
6: 1hr_r2_m31_20170625.fcs	26.3	89.8	56.3	1.51
7: 1hr_r3_m46_20170626_01.fcs	6.18	66.8	30.8	5.05
8: 12hr_r1_m2_170623.FCS	25.8	123	79.3	1.63
9: 12hr_r2_m16_20170624.fcs	27	138	101	1.24
10: 12hr_r3_m47_20170626_01.fcs	4.72	45.4	26.1	1.71
11: 24hr_r1_m3_170623.FCS	28.8	118	81.8	0.982
12: 24hr_r2_m17_20170624.fcs	27.5	121	81.6	1.22
13: 24hr_r3_m32_20170625.fcs	26.2	67	45.6	1.55
14: 36hr_r1_m18_20170624.fcs	24.4	99.9	66.5	1.23
15: 36hr_r2_m33_20170625.fcs	27.7	75.8	38.7	0.928
16: 36hr_r3_m48_20170626_01.fcs	5.77	63.1	24.6	3.63
17: 48hr_r1_m4_170623.FCS	24.4	103	66.1	1.12
18: 48hr_r2_m34_20170625.fcs	31.9	70.3	34.3	1.22
19: 48hr_r3_m49_20170626_01.fcs	5.01	52.2	17.8	2.99
20: 60hr_r1_m5_170623.FCS	28.4	116	67.1	0.817
21: 60hr_r2_m19_20170624.fcs	24.6	125	89.2	1.04
22: 60hr_r3_m50_20170626_01.fcs	4.49	45.9	24.9	2.49
23: 72hr_r1_m6_170623.FCS	27.7	108	62	1.83
24: 72hr_r2_m20_20170624.fcs	28.5	112	60.9	1.47
25: 72hr_r3_m35_20170625.fcs	27.6	71.5	37.9	1.2
26: 84hr_r1_m21_20170624.fcs	27.9	114	72.8	0.881
27: 84hr_r2_m36_20170625.fcs	29	77.6	53.8	1.26
28: 84hr_r3_m51_20170626_01.fcs	2.56	37.6	18.7	0.796
29: 96hr_r1_m7_170623.FCS	27.2	107	68.4	1.04
30: 96hr_r2_m37_20170625.fcs	35.6	68.7	50.6	1.33
31: 96hr_r3_m52_20170626_01.fcs	6.29	46.1	23.5	0.836
32: 108hr_r1_m8_170623.FCS	25.7	109	70.2	1.12
33: 108hr_r2_m22_20170624.fcs	27.6	111	75.3	1.18
34: 108hr_r3_m53_20170626_01.fcs	4.81	53.9	19.8	2.81
35: 120hr_r1_m9_170623.FCS	26.6	106	66.8	0.997
36: 120hr_r2_m23_20170624.fcs	27.4	97.8	68.2	1.82
37: 120hr_r3_m38_20170625.fcs	37.5	67	46.1	1.53
38: 132hr_r1_m24_20170624.fcs	28.8	113	72.5	1.03
39: 132hr_r2_m39_20170625.fcs	31.7	67.5	50.8	1.63
40: 132hr_r3_m54_20170626_01.fcs	0.0884	29.6	7.54	1.25
41: 144hr_r1_m10_170623.FCS	32	103	61.8	1.08
42: 144hr_r2_m40_20170625.fcs	40.1	52.6	36	1.81
43: 144hr_r3_m55_20170626_01.fcs	3.85	54.9	11.2	0.941
44: 156hr_r1_m11_170623.FCS	23.8	92.4	58.6	1.9
45: 156hr_r2_m25_20170624.fcs	26.7	102	64.8	1.98
46: 156hr_r3_m56_20170626_01.fcs	1.95	39.6	12.1	1.57
47: 168hr_r1_m12_170623.FCS	31.2	80.4	43.8	1.35
48: 168hr_r2_m26_20170624.fcs	29.2	87.5	58.6	1.48
49: 168hr_r3_m41_20170625.fcs	36.9	62.6	38.7	1.15
50: 180hr_r1_m27_20170624.fcs	24.7	92.4	58.9	1.06
51: 180hr_r2_m42_20170625.fcs	28	50.8	37.9	1.32
52: 180hr_r3_m57_20170626_01.fcs	3.74	46.3	12	1.46
53: 192hr_r1_m13_170623.FCS	27.7	87	69.2	1.14
54: 192hr_r2_m43_20170625.fcs	27.8	49.8	38.7	1.39
55: 192hr_r3_m58_20170626_01.fcs	2.51	39.5	9.15	0.724
56: 204hr_r1_m14_170623.FCS	29.2	85.8	68.4	1.21
57: 204hr_r2_m28_20170624.fcs	26.9	98.3	59.9	1.11
58: 204hr_r3_m59_20170626_01.fcs	0.263	28.4	7.99	0.793
59: 216hr_r1_m15_170623.FCS	27.1	96.7	69.4	0.874
60: 216hr_r2_m29_20170624.fcs	25	84.2	52.8	1.53
61: 216hr_r3_m44_20170625.fcs	24.1	41	40.5	2.42
62: 228hr_r1_m30_20170624.fcs	25.3	90.6	67.6	1.01
63: 228hr_r2_m45_20170625.fcs	31.7	42.3	43.1	1.89
64: 228hr_r3_m60_20170626_01.fcs	1.33	30.2	13.8	0.512
