Y89Di: 89Y_CD45,I127Di: 127I_IdU,Pr141Di: 141Pr_Ly-6G,Nd142Di: 142Nd_CD11c,Nd143Di: 143Nd_CD69,Nd144Di: 144Nd_CD115,Nd145Di: 145Nd_CD45-RB,Nd146Di: 146Nd_CD43,Sm149Di: 149Sm_CD19,Nd150Di: 150Nd_IgD,Eu151Di: 151Eu_IgM,Eu153Di: 153Eu_NKp46,Sm154Di: 154Sm_CD11b,Gd158Di: 158Gd_CD93,Tb159Di: 159Tb_CXCR4,Gd160Di: 160Gd_B220,Dy162Di: 162Dy_Ly-6C,Dy164Di: 164Dy_CX3CR1,Ho165Di: 165Ho_CD3e,Er168Di: 168Er_CD21,Tm169Di: 169Tm_Sca-1,Er170Di: 170Er_NK1.1,Yb172Di: 172Yb_CD4,Yb173Di: 173Yb_CD117,Yb174Di: 174Yb_MHC_II,Lu175Di: 175Lu_CD127,Ir191Di: 191Ir_DNA1,Ir193Di: 193Ir_DNA2,Pt195Di: 195Pt_Viability
45.9623985,0,0.534223557,3.16237187,0,1.37723136,59.4790726,73.7699051,14.3841391,4.06066847,66.2691422,0,8.68379593,1.81208682,1.61448491,2.33313537,18.5536785,4.24825525,0,2.68300676,3.293854,0,0.663413584,0,209.317322,0,489.928833,861.84137,6.61796522
0.064867839,1.01283026,0.641236424,0,2.09408116,1.47056222,14.0090475,32.7815285,8.74079227,3.08247542,4.59057426,0,0.46095109,12.2916937,0.929700136,0,0,1.33211207,0,0,7.60790634,0,0,0,3.92017937,11.5748692,481.792236,794.91687,0.748342335
18.1964626,4.92262793,0,0.587412357,0,0,23.9462357,8.02125835,7.26607275,0,30.6661415,0,0,4.11784124,0,1.50447416,9.09820747,0,0,0,0,0,0,0.982753277,69.3549118,0.441478014,445.585724,819.66156,0
27.0806084,5.54644823,3.42570996,0,0,2.30724645,71.9433975,43.2728462,10.9895239,2.47282267,0.789764404,0,9.79667473,12.2623653,8.02125835,8.49618435,27.5719624,4.02675629,3.19082999,0,0.18195942,2.67030382,0,0,208.163696,4.0488143,384.390839,721.089233,15.9288731
9.20497704,0,1.51756418,0,0,0.677969217,19.8023853,97.4272995,10.2673016,6.07236719,0.091533609,0,3.05318236,27.9041328,6.629004,1.93984389,72.5613861,6.07236719,0,0,0,0,0,0.773450017,69.5410309,9.32485867,561.778992,1107.9707,3.42570996
2.12757683,0,5.39863825,0,0.870883882,0,21.3624306,17.7114925,4.80246115,4.80502319,0,0,0,0,1.54935479,0,9.16557121,0,0,0,0,0,0,0.953191221,87.8969345,0.803162217,455.641083,751.841919,6.1298728
6.85307217,42.7851143,0.305149198,0,0,0,27.9159012,7.94558191,5.65847635,2.92070532,44.5379028,0,0,3.65469098,0,0,0,0.610652566,0,0,0,0,0,0,9.90119267,0,395.249756,812.836914,2.14119411
45.8358574,454.417786,0.350943267,0,1.75035059,0,104.598259,35.6014175,7.80522585,4.33413649,15.9455128,0,8.18921089,2.01337814,0.443106443,3.57463622,22.1525078,0.244102597,0,8.49618435,7.01159859,0,0,0,393.053467,0,422.591919,645.151184,2.82412314
10.5114403,5.04605007,8.37002659,0,0,0,23.160408,16.4184017,6.51441574,1.57952881,1.00001836,0,10.9279976,6.1959281,0,2.17850018,18.7958775,4.00982141,1.68818402,0,1.5984602,0,0,0,38.3808365,4.41926241,408.690125,803.826477,2.00003672
13.2138729,12.3693991,0,0,0.106784441,0,44.8172798,22.3527031,12.7001638,0,0.612105608,0,0,7.96443653,2.75446272,2.2412045,16.2648354,0.015254588,0,0,0,0,0,0,42.7104454,0,383.321655,758.149719,0
