Sample	Freq	IgM	CD43	MHCII
1: 0hr_r1_m0_170623.FCS	82.1	5.32	16.5	17.8
2: 0hr_r2_m0_20170624.fcs	74.4	5.22	18.8	15.7
3: 0hr_r3_m0_20170625.fcs	67.3	6.31	30.9	37.5
4: 0hr_r4_m0_20170626_01.fcs	75.7	2.84	21.8	16.3
5: 1hr_r1_m1_170623.FCS	75.6	3.47	13.4	17.4
6: 1hr_r2_m31_20170625.fcs	57.7	3.54	21.3	21.4
7: 1hr_r3_m46_20170626_01.fcs	48.9	1.99	16.6	14.1
8: 12hr_r1_m2_170623.FCS	41.1	3.81	11.5	15.8
9: 12hr_r2_m16_20170624.fcs	72.7	3.43	14	21
10: 12hr_r3_m47_20170626_01.fcs	65.4	1.3	6.93	4.27
11: 24hr_r1_m3_170623.FCS	70.3	4.88	10.1	17.2
12: 24hr_r2_m17_20170624.fcs	71.9	4.15	13.8	18
13: 24hr_r3_m32_20170625.fcs	40.8	7.78	15.9	16.6
14: 36hr_r1_m18_20170624.fcs	55	3.91	10.8	15.1
15: 36hr_r2_m33_20170625.fcs	58.4	3.15	15.6	11.9
16: 36hr_r3_m48_20170626_01.fcs	46.3	1.79	14.4	9.42
17: 48hr_r1_m4_170623.FCS	79.4	4.34	8.32	16.4
18: 48hr_r2_m34_20170625.fcs	46.5	3.34	16.9	9.09
19: 48hr_r3_m49_20170626_01.fcs	64.9	1.44	12.9	8.38
20: 60hr_r1_m5_170623.FCS	61.4	3.21	10.2	12.4
21: 60hr_r2_m19_20170624.fcs	72	2.75	12.4	12.7
22: 60hr_r3_m50_20170626_01.fcs	56.1	1.41	8.93	4.9
23: 72hr_r1_m6_170623.FCS	69.1	4.9	8.27	17.9
24: 72hr_r2_m20_20170624.fcs	42	3.39	11.6	11.3
25: 72hr_r3_m35_20170625.fcs	35.2	5.47	18.5	10.6
26: 84hr_r1_m21_20170624.fcs	80.7	2.69	12.1	13.2
27: 84hr_r2_m36_20170625.fcs	64.9	3.45	25.1	15.9
28: 84hr_r3_m51_20170626_01.fcs	79.3	1.1	3.92	1.91
29: 96hr_r1_m7_170623.FCS	62	3.44	9.56	12.3
30: 96hr_r2_m37_20170625.fcs	66.2	4.75	29.4	14.5
31: 96hr_r3_m52_20170626_01.fcs	55.9	1.34	6.83	3.54
32: 108hr_r1_m8_170623.FCS	83.9	3.57	7.5	16
33: 108hr_r2_m22_20170624.fcs	65.9	4.05	13.3	12.3
34: 108hr_r3_m53_20170626_01.fcs	66.7	2.66	13.5	9.56
35: 120hr_r1_m9_170623.FCS	64	3.47	10.4	16
36: 120hr_r2_m23_20170624.fcs	84.5	2.48	11.9	17.4
37: 120hr_r3_m38_20170625.fcs	44.6	6.89	29.8	15.4
38: 132hr_r1_m24_20170624.fcs	73	4.28	11.3	18
39: 132hr_r2_m39_20170625.fcs	48	3.95	30.2	16.3
40: 132hr_r3_m54_20170626_01.fcs	95.5	0.344	2.25	1.53
41: 144hr_r1_m10_170623.FCS	66.4	3.25	10.1	14.8
42: 144hr_r2_m40_20170625.fcs	45.9	4.86	34.6	13.1
43: 144hr_r3_m55_20170626_01.fcs	67	1.05	9.01	2.83
44: 156hr_r1_m11_170623.FCS	62.2	4.99	7.09	13.4
45: 156hr_r2_m25_20170624.fcs	83.2	2.28	11.8	15.8
46: 156hr_r3_m56_20170626_01.fcs	65.5	0.754	3.86	4.23
47: 168hr_r1_m12_170623.FCS	77.9	2.36	7.63	10.2
48: 168hr_r2_m26_20170624.fcs	67.9	2.07	9.99	10.5
49: 168hr_r3_m41_20170625.fcs	54.7	3.14	80.1	10.2
50: 180hr_r1_m27_20170624.fcs	79.8	2.3	9.6	10.6
51: 180hr_r2_m42_20170625.fcs	67.2	6.58	38.4	13.9
52: 180hr_r3_m57_20170626_01.fcs	63.8	1.02	11.2	2.61
53: 192hr_r1_m13_170623.FCS	50.8	2.74	6.05	8.81
54: 192hr_r2_m43_20170625.fcs	70.1	2.92	35.3	13.5
55: 192hr_r3_m58_20170626_01.fcs	70.7	0.973	5.44	2.61
56: 204hr_r1_m14_170623.FCS	59.4	3.75	7.56	10.1
57: 204hr_r2_m28_20170624.fcs	62.8	2.43	10.4	10.2
58: 204hr_r3_m59_20170626_01.fcs	89.1	0.289	2.94	1.36
59: 216hr_r1_m15_170623.FCS	62.4	3.81	5.98	10.1
60: 216hr_r2_m29_20170624.fcs	66.1	3.18	10	10.6
61: 216hr_r3_m44_20170625.fcs	75.8	3.17	35.5	15.7
62: 228hr_r1_m30_20170624.fcs	71.8	3.58	10.7	11.2
63: 228hr_r2_m45_20170625.fcs	54.8	6.47	35.7	11.9
64: 228hr_r3_m60_20170626_01.fcs	75.4	0.686	2.85	1.52
